,AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GenderNeutralRestrooms,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,nuwaubian-food-coop-detroit,42.4306482,-83.1418226,,,,,,,,Nuwaubian Food-Coop,https://www.yelp.com/biz/nuwaubian-food-coop-detroit?osq=food
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,bottoms-up-party-store-detroit,42.4457505,-83.15629,,1.0,sav-on-birmingham-drugs-birmingham,trader-joes-royal-oak,holiday-market-royal-oak,1,"Beer,Wine&Spirits",Bottoms Up Party Store,https://www.yelp.com/biz/bottoms-up-party-store-detroit?osq=food
24,,,,Yes,,No,,Casual,,Yes,,,Yes,,Yes,No,,11:00 am - 11:00 pm,,Lunch,,Yes,Yes,,,,Yes,11:00 am - 10:00 pm,,,,No,Street,11:00 am - 11:00 pm,,12:00 pm - 10:00 pm,Yes,No,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No,11:00 am - 10:00 pm,Yes,No,MI Detroit Bagley,Claimed,,jets-pizza-ferndale,42.4461715345972,-83.1570820424422,Moderate,2.5,louis-pizza-hazel-park,pizza-connection-hazel-park,stop-spot-lounge-ferndale,34,"Pizza,Salad",Jet’s Pizza,https://www.yelp.com/biz/jets-pizza-ferndale?osq=food
25,,,,Yes,,No,,Casual,,,,,Yes,,No,,,,,,,No,Yes,,,,No,,,Quiet,,No,,,,,Yes,No,,,No,,,,MI Detroit Bagley,Unclaimed,,subway-ferndale-3,42.44611,-83.1550473,Inexpensive,4.0,,,,1,"Sandwiches,FastFood",Subway,https://www.yelp.com/biz/subway-ferndale-3?osq=food
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,marys-place-detroit,42.432445,-83.155769,,,,,,,,Mary’s Place,https://www.yelp.com/biz/marys-place-detroit?osq=food
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,sheba-fish-and-seafood-company-detroit,42.4171218,-83.1435047,,,fresh-fish-house-detroit,,,,,Sheba Fish & Seafood Company,https://www.yelp.com/biz/sheba-fish-and-seafood-company-detroit?osq=food
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,s-and-g-liquor-shop-detroit,42.4242526,-83.1607178,,,,,,,,S & G Liquor Shop,https://www.yelp.com/biz/s-and-g-liquor-shop-detroit?osq=food
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,sheppards-sole-food-detroit,42.429919,-83.141676,,,lous-deli-detroit,toms-tavern-detroit,china-wok-detroit,,,Sheppard’s Sole Food,https://www.yelp.com/biz/sheppards-sole-food-detroit?osq=food
31,,,,Yes,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,Yes,No,,,,,,,MI Detroit Bagley,Unclaimed,,wendys-detroit-11,42.4460658,-83.1421784,,,the-emory-ferndale,checkers-detroit,qdoba-mexican-eats-southfield,,,Wendy’s,https://www.yelp.com/biz/wendys-detroit-11?osq=food
32,,,,,,,,,,,,,Yes,,,,,10:30 am - 10:00 pm,,,,,,,,,,10:30 am - 10:00 pm,,,,,,11:00 am - 10:00 pm,,11:00 am - 10:00 pm,,,10:30 am - 10:00 pm,10:30 am - 10:00 pm,,10:30 am - 10:00 pm,,No,MI Detroit Bagley,Claimed,,kfc-ferndale,42.446,-83.142,,,,,,,,KFC,https://www.yelp.com/biz/kfc-ferndale?osq=food
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,santa-barbara-market-detroit,42.4173483,-83.1489468,,,,,,,,Santa Barbara Market,https://www.yelp.com/biz/santa-barbara-market-detroit?osq=food
35,,,,Yes,,,,Casual,,,,,,,No,,Yes,,,,,No,Yes,,,,,,,,,,,,,,Yes,No,,,,,,,MI Detroit Bagley,Unclaimed,,mcdonalds-detroit-9,42.4174774,-83.1412573,Inexpensive,2.5,brayz-hamburgers-hazel-park,white-castle-detroit-13,telway-hamburgers-detroit,3,"FastFood,Burgers",McDonald’s,https://www.yelp.com/biz/mcdonalds-detroit-9?osq=food
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,good-stop-liquor-detroit,42.4171422,-83.1459815,,,,,,,,Good Stop Liquor,https://www.yelp.com/biz/good-stop-liquor-detroit?osq=food
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,crown-liquor-detroit,42.4172592,-83.1434875,,,wine-captain-party-shoppe-dearborn,macs-drugs-and-liquor-shop-detroit,forest-liquor-detroit,,,Crown Liquor,https://www.yelp.com/biz/crown-liquor-detroit?osq=food
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,wyoming-and-six-market-detroit,42.417409,-83.159884,,,,,,,,Wyoming & Six Market,https://www.yelp.com/biz/wyoming-and-six-market-detroit?osq=food
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,jade-garden-detroit,42.4326723,-83.1411723,,,the-rock-on-third-royal-oak,the-royal-oak-brewery-royal-oak,malones-tavern-warren,,,Jade Garden,https://www.yelp.com/biz/jade-garden-detroit?osq=food
40,,,,No,,No,,Casual,,,,,,,No,,,11:00 am - 8:00 pm,,,,No,No,,,,,11:00 am - 8:00 pm,,,,Yes,,11:00 am - 8:00 pm,,11:00 am - 8:00 pm,Yes,No,11:00 am - 8:00 pm,11:00 am - 8:00 pm,No,11:00 am - 8:00 pm,Yes,,MI Detroit Bagley,Unclaimed,,motown-mobile-barbeque-and-grill-detroit,42.445644,-83.161508,,,beans-and-cornbread-southfield,howes-bayou-ferndale,slows-bar-bq-detroit,,,Motown Mobile Barbeque & Grill,https://www.yelp.com/biz/motown-mobile-barbeque-and-grill-detroit?osq=food
41,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,livernois-fresh-fish-and-seafood-detroit,42.4252190407428,-83.140943281499,,5.0,,,,1,Seafood,Livernois Fresh Fish And Seafood,https://www.yelp.com/biz/livernois-fresh-fish-and-seafood-detroit?osq=food
42,,,,No,,No,,,,No,,,No,,No,,,,,,,No,No,,,,No,,,Loud,,No,,,,,Yes,No,,,No,,,No,MI Detroit Bagley,Unclaimed,,little-caesars-pizza-detroit-17,42.4186139,-83.1405516,Inexpensive,1.0,stop-spot-lounge-ferndale,greggs-pizza-and-bar-b-que-detroit,primos-pizza-oak-park,3,Pizza,Little Caesar’s Pizza,https://www.yelp.com/biz/little-caesars-pizza-detroit-17?osq=food
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI Detroit Bagley,Unclaimed,,miley-and-miley-shrimp-sack-detroit,42.4182481,-83.1413158,,,greggs-pizza-and-bar-b-que-detroit,scotty-simpsons-fish-and-chips-detroit,kitchen-hanzo-west-bloomfield,,,Miley & Miley Shrimp Sack,https://www.yelp.com/biz/miley-and-miley-shrimp-sack-detroit?osq=food
