City,State,total_business
SALEM,MA,3084
SOUTH HAMILTON,MA,390
TOPSFIELD,MA,1702
WENHAM,MA,1563
WEST NEWBURY,MA,1233
ACCORD,MA,2092
BELLINGHAM,MA,1101
BRANT ROCK,MA,129
CANTON,MA,2886
COHASSET,MA,1219
DEDHAM,MA,7211
DOVER,MA,4629
EAST WALPOLE,MA,496
FOXBORO,MA,1450
FRANKLIN,MA,1309
GREENBUSH,MA,766
GREEN HARBOR,MA,80
HINGHAM,MA,4129
HULL,MA,5516
HUMAROCK,MA,42
MANSFIELD,MA,1630
MARSHFIELD,MA,697
MARSHFIELD HILLS,MA,229
MEDFIELD,MA,63
MEDWAY,MA,1377
MILLIS,MA,1827
MINOT,MA,686
NORFOLK,MA,1502
NORTH MARSHFIELD,MA,8638
NORTH SCITUATE,MA,848
NORWELL,MA,1005
NORWOOD,MA,3275
OCEAN BLUFF,MA,3930
SCITUATE,MA,751
SHARON,MA,2036
SHELDONVILLE,MA,1494
SOUTH WALPOLE,MA,117
STOUGHTON,MA,689
WALPOLE,MA,1994
WESTWOOD,MA,6134
WRENTHAM,MA,1485
BOSTON,MA,8361
ROXBURY,MA,5288
ROXBURY CROSSING,MA,181
DORCHESTER,MA,4660
DORCHESTER CENTER,MA,4379
MATTAPAN,MA,647
SOUTH BOSTON,MA,5127
CHARLESTOWN,MA,3146
JAMAICA PLAIN,MA,1989
ROSLINDALE,MA,3612
WEST ROXBURY,MA,2820
ALLSTON,MA,661
BRIGHTON,MA,4598
HYDE PARK,MA,1433
READVILLE,MA,275
CAMBRIDGE,MA,8463
SOMERVILLE,MA,8534
MALDEN,MA,8485
EVERETT,MA,1158
CHELSEA,MA,1875
REVERE,MA,7985
WINTHROP,MA,7820
MEDFORD,MA,8346
WEST MEDFORD,MA,8201
QUINCY,MA,7212
MELROSE,MA,8110
STONEHAM,MA,7512
BRAINTREE,MA,5605
MILTON,MA,7395
MILTON VILLAGE,MA,7382
WEYMOUTH,MA,3937
EAST WEYMOUTH,MA,776
SOUTH WEYMOUTH,MA,825
NORTH WEYMOUTH,MA,213
EAST BOSTON,MA,4465
