City,State,total_business
FRANKLIN,KY,74
GAMALIEL,KY,15
GLASGOW,KY,81
HESTAND,KY,18
HISEVILLE,KY,855
HOLLAND,KY,31
KNOB LICK,KY,7
LUCAS,KY,86
MOUNT HERMON,KY,13
OAKLAND,KY,11
PARK CITY,KY,101
ROCKY HILL,KY,61
SCOTTSVILLE,KY,18
SUMMER SHADE,KY,826
TOMPKINSVILLE,KY,9
WOODBURN,KY,279
SMITHS GROVE,KY,11
ABERDEEN,KY,10
ADAIRVILLE,KY,21
ALLENSVILLE,KY,36
AUBURN,KY,365
BEE SPRING,KY,18
BROWNSVILLE,KY,8
CADIZ,KY,21
CENTER,KY,16
CERULEAN,KY,46
CLIFTY,KY,1374
CROFTON,KY,186
DUNBAR,KY,13
ELKTON,KY,626
FAIRVIEW,KY,80
FORT CAMPBELL,KY,598
GRACEY,KY,90
GUTHRIE,KY,12
HERNDON,KY,229
HOPKINSVILLE,KY,80
JETSON,KY,12
LA FAYETTE,KY,585
LEWISBURG,KY,22
MAMMOTH CAVE,KY,72
MORGANTOWN,KY,11
OAK GROVE,KY,475
OLMSTEAD,KY,520
PEMBROKE,KY,219
ROCHESTER,KY,74
ROCKFIELD,KY,271
ROUNDHILL,KY,12
RUSSELLVILLE,KY,21
SHARON GROVE,KY,16
SWEEDEN,KY,19
TRENTON,KY,302
WOODBURY,KY,16
OWENSBORO,KY,186
BEAVER DAM,KY,22
BEECH CREEK,KY,25
BEECH GROVE,KY,11
BEECHMONT,KY,218
BELTON,KY,25
BREMEN,KY,26
BROWDER,KY,25
CALHOUN,KY,6
CENTERTOWN,KY,128
CENTRAL CITY,KY,22
CLEATON,KY,9
CROMWELL,KY,33
CURDSVILLE,KY,38
DRAKESBORO,KY,28
DUNDEE,KY,22
DUNMOR,KY,12
FORDSVILLE,KY,215
GRAHAM,KY,39
GREENVILLE,KY,27
HARTFORD,KY,23
HAWESVILLE,KY,10
HORSE BRANCH,KY,116
ISLAND,KY,16
LEWISPORT,KY,44
LIVERMORE,KY,1335
MC HENRY,KY,31
MACEO,KY,186
MAPLE MOUNT,KY,85
OLATON,KY,28
PELLVILLE,KY,11
PHILPOT,KY,184
POWDERLY,KY,25
REYNOLDS STATION,KY,6
ROCKPORT,KY,46
ROSINE,KY,23
RUMSEY,KY,1117
SACRAMENTO,KY,158
SOUTH CARROLLTON,KY,27
UTICA,KY,144
WEST LOUISVILLE,KY,138
WHITESVILLE,KY,249
BASKETT,KY,500
CLAY,KY,98
CORYDON,KY,68
DAWSON SPRINGS,KY,5
DIXON,KY,119
EARLINGTON,KY,52
FREDONIA,KY,53
HANSON,KY,47
HENDERSON,KY,445
MADISONVILLE,KY,42
MANITOU,KY,51
MORGANFIELD,KY,8
MORTONS GAP,KY,45
NEBO,KY,52
NORTONVILLE,KY,48
POOLE,KY,11
PRINCETON,KY,33
PROVIDENCE,KY,6
REED,KY,287
ROBARDS,KY,6
SAINT CHARLES,KY,49
SEBREE,KY,5
SLAUGHTERS,KY,228
SMITH MILLS,KY,79
SPOTTSVILLE,KY,762
STURGIS,KY,15
SULLIVAN,KY,11
UNIONTOWN,KY,18
WAVERLY,KY,520
WHEATCROFT,KY,11
WHITE PLAINS,KY,38
SOMERSET,KY,121
BETHELRIDGE,KY,42
BRONSTON,KY,8
BURNSIDE,KY,73
DUNNVILLE,KY,19
FERGUSON,KY,74
LIBERTY,KY,5
MIDDLEBURG,KY,12
NANCY,KY,69
SCIENCE HILL,KY,116
TATEVILLE,KY,73
WEST SOMERSET,KY,683
WINDSOR,KY,28
YOSEMITE,KY,12
EUBANK,KY,888
ALBANY,KY,13
ALPHA,KY,24
JAMESTOWN,KY,25
MARSHES SIDING,KY,9
MONTICELLO,KY,9
PARKERS LAKE,KY,14
PINE KNOT,KY,22
REVELO,KY,15
RUSSELL SPRINGS,KY,19
STEARNS,KY,11
STRUNK,KY,22
WHITLEY CITY,KY,7
ELIZABETHTOWN,KY,209
BIG CLIFTY,KY,29
BONNIEVILLE,KY,156
BREEDING,KY,16
BUFFALO,KY,18
BURKESVILLE,KY,7
CAMPBELLSVILLE,KY,36
CANE VALLEY,KY,38
CANEYVILLE,KY,89
CANMER,KY,30
CECILIA,KY,146
CLARKSON,KY,33
COLUMBIA,KY,19
CUB RUN,KY,33
DUBRE,KY,110
EASTVIEW,KY,96
ELK HORN,KY,6
GLENDALE,KY,137
GLENS FORK,KY,30
GRADYVILLE,KY,12
GREENSBURG,KY,8
HARDYVILLE,KY,42
HODGENVILLE,KY,9
HORSE CAVE,KY,32
KNIFLEY,KY,50
LEITCHFIELD,KY,34
MAGNOLIA,KY,26
MANNSVILLE,KY,38
MARROWBONE,KY,18
MILLWOOD,KY,34
MOUNT SHERMAN,KY,12
MUNFORDVILLE,KY,12
SONORA,KY,26
SUMMERSVILLE,KY,36
UPTON,KY,21
WHITE MILLS,KY,73
ALEXANDRIA,OH,424
AMLIN,OH,4532
ASHLEY,OH,179
BLACKLICK,OH,620
BLADENSBURG,OH,80
BRINKHAVEN,OH,33
BROADWAY,OH,95
BUCKEYE LAKE,OH,319
CABLE,OH,69
CATAWBA,OH,223
CENTERBURG,OH,8
CROTON,OH,150
DANVILLE,OH,16
DELAWARE,OH,497
DUBLIN,OH,3073
ETNA,OH,841
FREDERICKTOWN,OH,14
GALENA,OH,28
GAMBIER,OH,20
GRANVILLE,OH,331
HEBRON,OH,122
HILLIARD,OH,3077
HOMER,OH,13
HOWARD,OH,7
IRWIN,OH,92
JACKSONTOWN,OH,9
JOHNSTOWN,OH,29
KILBOURNE,OH,198
KIRKERSVILLE,OH,484
LEWIS CENTER,OH,2127
MAGNETIC SPRINGS,OH,192
MARTINSBURG,OH,86
MARYSVILLE,OH,72
MECHANICSBURG,OH,83
MILFORD CENTER,OH,115
MILLERSPORT,OH,13
MINGO,OH,103
MOUNT LIBERTY,OH,95
MOUNT VERNON,OH,79
NEW ALBANY,OH,2214
NEWARK,OH,280
HEATH,OH,289
NORTH LEWISBURG,OH,146
OSTRANDER,OH,456
PATASKALA,OH,736
PLAIN CITY,OH,22
POWELL,OH,2170
RADNOR,OH,173
RAYMOND,OH,93
REYNOLDSBURG,OH,2109
ROSEWOOD,OH,79
SAINT LOUISVILLE,OH,16
SAINT PARIS,OH,8
SUMMIT STATION,OH,13
SUNBURY,OH,55
THORNVILLE,OH,16
UNIONVILLE CENTER,OH,323
URBANA,OH,43
UTICA,OH,10
WESTERVILLE,OH,2885
WESTERVILLE,OH,2885
WESTVILLE,OH,33
WOODSTOCK,OH,9
COLUMBUS,OH,4703
ADELPHI,OH,45
AMANDA,OH,1660
ASHVILLE,OH,15
BALTIMORE,OH,25
BLOOMINGBURG,OH,61
BREMEN,OH,139
HIDEAWAY HLS,OH,179
BRICE,OH,4704
CANAL WINCHESTER,OH,1569
CARBON HILL,OH,68
CARROLL,OH,591
CIRCLEVILLE,OH,42
CLARKSBURG,OH,70
COMMERCIAL POINT,OH,336
DERBY,OH,201
GALLOWAY,OH,2163
GROVE CITY,OH,2260
GROVEPORT,OH,1971
HARRISBURG,OH,770
HAYDENVILLE,OH,4907
JEFFERSONVILLE,OH,71
LANCASTER,OH,161
LAURELVILLE,OH,29
LITHOPOLIS,OH,882
LOCKBOURNE,OH,144
LOGAN,OH,396
LONDON,OH,54
MILLEDGEVILLE,OH,17
MOUNT STERLING,OH,8
MURRAY CITY,OH,35
NEW HOLLAND,OH,41
ORIENT,OH,744
PICKERINGTON,OH,1188
PLEASANTVILLE,OH,40
ROCKBRIDGE,OH,144
RUSHVILLE,OH,8
SEDALIA,OH,43
SOUTH BLOOMINGVILLE,OH,50
SOUTH SOLON,OH,519
STOUTSVILLE,OH,102
SUGAR GROVE,OH,9
TARLTON,OH,95
THURSTON,OH,220
UNION FURNACE,OH,62
WASHINGTON COURT HOUSE,OH,69
WEST JEFFERSON,OH,829
WILLIAMSPORT,OH,67
COLUMBUS,OH,4703
MARION,OH,87
BELLE CENTER,OH,80
BELLEFONTAINE,OH,89
CALEDONIA,OH,321
CARDINGTON,OH,87
CAREY,OH,9
CHESTERVILLE,OH,75
DE GRAFF,OH,67
EAST LIBERTY,OH,77
EDISON,OH,21
FULTON,OH,44
GREEN CAMP,OH,96
HARPSTER,OH,60
HUNTSVILLE,OH,40
IBERIA,OH,79
KENTON,OH,15
KIRBY,OH,44
LAKEVIEW,OH,23
LA RUE,OH,15
LEWISTOWN,OH,29
MARENGO,OH,12
MARTEL,OH,255
MIDDLEBURG,OH,76
MORRAL,OH,108
MOUNT GILEAD,OH,21
MOUNT VICTORY,OH,292
NEW BLOOMINGTON,OH,46
PROSPECT,OH,167
QUINCY,OH,42
RICHWOOD,OH,8
RIDGEWAY,OH,234
ROUNDHEAD,OH,42
RUSHSYLVANIA,OH,247
RUSSELLS POINT,OH,86
SHAUCK,OH,218
SPARTA,OH,76
UPPER SANDUSKY,OH,30
WALDO,OH,119
WEST LIBERTY,OH,10
WEST MANSFIELD,OH,331
WHARTON,OH,44
ZANESFIELD,OH,67
BOWLING GREEN,OH,154
BRADNER,OH,59
BURGOON,OH,653
CLAY CENTER,OH,316
CLYDE,OH,27
CURTICE,OH,363
CYGNET,OH,109
DUNBRIDGE,OH,1449
ELMORE,OH,139
FREMONT,OH,57
GENOA,OH,11
GIBSONBURG,OH,94
GRAYTOWN,OH,71
GYPSUM,OH,46
HARBOR VIEW,OH,221
HELENA,OH,1043
ISLE SAINT GEORGE,OH,71
JERRY CITY,OH,134
KELLEYS ISLAND,OH,20
LACARNE,OH,97
LAKESIDE MARBLEHEAD,OH,389
LEMOYNE,OH,1467
LINDSEY,OH,101
LUCKEY,OH,390
MARTIN,OH,6
MIDDLE BASS,OH,43
MILLBURY,OH,13
OAK HARBOR,OH,11
PEMBERVILLE,OH,255
PORTAGE,OH,7
PORT CLINTON,OH,62
PUT IN BAY,OH,169
RISINGSUN,OH,643
ROCKY RIDGE,OH,55
ROSSFORD,OH,1227
RUDOLPH,OH,119
STONY RIDGE,OH,1480
VICKERY,OH,179
WALBRIDGE,OH,268
WAYNE,OH,804
WEST MILLGROVE,OH,138
WILLISTON,OH,273
WOODVILLE,OH,7
ALVORDTON,OH,286
ARCHBOLD,OH,18
BERKEY,OH,20
BLAKESLEE,OH,59
BRYAN,OH,33
COLTON,OH,119
CUSTAR,OH,105
DEFIANCE,OH,50
DELTA,OH,12
DESHLER,OH,11
EDGERTON,OH,55
EDON,OH,26
EVANSPORT,OH,108
FARMER,OH,51
FAYETTE,OH,51
GRAND RAPIDS,OH,10
GRELTON,OH,54
HAMLER,OH,440
HASKINS,OH,525
HICKSVILLE,OH,7
HOLGATE,OH,43
HOLLAND,OH,149
HOYTVILLE,OH,171
JEWELL,OH,84
KUNKLE,OH,46
LIBERTY CENTER,OH,105
LYONS,OH,63
MC CLURE,OH,15
MALINTA,OH,50
MARK CENTER,OH,25
MAUMEE,OH,1171
METAMORA,OH,127
MILTON CENTER,OH,771
MONCLOVA,OH,39
MONTPELIER,OH,12
NAPOLEON,OH,30
NEAPOLIS,OH,203
NEW BAVARIA,OH,58
NEY,OH,242
OKOLONA,OH,87
PERRYSBURG,OH,1081
PETTISVILLE,OH,89
PIONEER,OH,6
RIDGEVILLE CORNERS,OH,118
SHERWOOD,OH,59
STRYKER,OH,73
SWANTON,OH,29
SYLVANIA,OH,1072
TONTOGANY,OH,283
WATERVILLE,OH,131
WAUSEON,OH,29
WESTON,OH,118
WEST UNITY,OH,79
WHITEHOUSE,OH,564
TOLEDO,OH,1641
OREGON,OH,1054
NORTHWOOD,OH,980
TOLEDO,OH,1641
ZANESVILLE,OH,266
AVA,OH,30
BARNESVILLE,OH,8
BEALLSVILLE,OH,249
BELLE VALLEY,OH,12
BELMONT,OH,10
BETHESDA,OH,14
BLUE ROCK,OH,83
BROWNSVILLE,OH,212
BUFFALO,OH,73
BYESVILLE,OH,62
CALDWELL,OH,10
CAMBRIDGE,OH,76
CHANDLERSVILLE,OH,124
CHESTERHILL,OH,373
CORNING,OH,260
CROOKSVILLE,OH,451
CUMBERLAND,OH,246
DERWENT,OH,79
DUNCAN FALLS,OH,31
EAST FULTONHAM,OH,146
FAIRVIEW,OH,25
FULTONHAM,OH,146
GLENFORD,OH,19
GRATIOT,OH,147
HOPEWELL,OH,144
JERUSALEM,OH,15
JUNCTION CITY,OH,10
KIMBOLTON,OH,67
KIPLING,OH,7
LAINGS,OH,41
LEWISVILLE,OH,185
LORE CITY,OH,20
MCCONNELSVILLE,OH,12
MALAGA,OH,15
MALTA,OH,11
MORRISTOWN,OH,43
MOUNT PERRY,OH,12
MOXAHALA,OH,28
NEW CONCORD,OH,6
NEW LEXINGTON,OH,9
NEW STRAITSVILLE,OH,68
NORWICH,OH,32
OLD WASHINGTON,OH,69
PHILO,OH,12
PLEASANT CITY,OH,11
QUAKER CITY,OH,143
ROSEVILLE,OH,88
SALESVILLE,OH,25
SARAHSVILLE,OH,20
SENECAVILLE,OH,15
SHAWNEE,OH,48
SOMERSET,OH,11
STAFFORD,OH,7
STOCKPORT,OH,397
SUMMERFIELD,OH,130
WHITE COTTAGE,OH,149
WOODSFIELD,OH,7
ADAMSVILLE,OH,126
BAKERSVILLE,OH,104
BALTIC,OH,81
BLISSFIELD,OH,73
CONESVILLE,OH,56
COSHOCTON,OH,38
DRESDEN,OH,105
FRAZEYSBURG,OH,75
FRESNO,OH,63
KEENE,OH,267
NASHPORT,OH,127
NEWCOMERSTOWN,OH,14
PLAINFIELD,OH,59
PORT WASHINGTON,OH,11
STONE CREEK,OH,155
TRINWAY,OH,81
WALHONDING,OH,23
WARSAW,OH,237
WEST LAFAYETTE,OH,58
ADENA,OH,162
ALLEDONIA,OH,15
AMSTERDAM,OH,35
BARTON,OH,30
BELLAIRE,OH,101
CADIZ,OH,15
BERGHOLZ,OH,342
BLAINE,OH,189
BLOOMINGDALE,OH,98
BRIDGEPORT,OH,68
BRILLIANT,OH,11
CAMERON,OH,50
CLARINGTON,OH,261
COLERAIN,OH,182
DILLONVALE,OH,3411
EAST LIVERPOOL,OH,118
EAST SPRINGFIELD,OH,47
EMPIRE,OH,188
FAIRPOINT,OH,91
GLENCOE,OH,175
HAMMONDSVILLE,OH,113
HANNIBAL,OH,37
IRONDALE,OH,91
JACOBSBURG,OH,146
LANSING,OH,8
MARTINS FERRY,OH,190
MAYNARD,OH,163
MINGO JUNCTION,OH,107
MOUNT PLEASANT,OH,206
NEFFS,OH,103
PINEY FORK,OH,90
POWHATAN POINT,OH,46
RAYLAND,OH,11
RICHMOND,OH,38
SALINEVILLE,OH,488
SARDIS,OH,9
SHADYSIDE,OH,14
SMITHFIELD,OH,131
SAINT CLAIRSVILLE,OH,40
LAFFERTY,OH,63
STEUBENVILLE,OH,169
STRATTON,OH,196
SUMMITVILLE,OH,34
TILTONSVILLE,OH,200
TORONTO,OH,63
WARNOCK,OH,103
WELLSVILLE,OH,58
WOLF RUN,OH,43
YORKVILLE,OH,196
BANNOCK,OH,64
FREEPORT,OH,298
HARRISVILLE,OH,151
HOPEDALE,OH,41
FLUSHING,OH,65
NEW ATHENS,OH,71
PIEDMONT,OH,32
NEW RUMLEY,OH,28
HOLLOWAY,OH,31
JEWETT,OH,24
SCIO,OH,25
AMHERST,OH,476
ANDOVER,OH,12
ASHTABULA,OH,171
AUSTINBURG,OH,13
AVON,OH,1164
AVON LAKE,OH,206
BEREA,OH,712
BURTON,OH,15
CHAGRIN FALLS,OH,1276
CHAGRIN FALLS,OH,1276
CHARDON,OH,511
CHESTERLAND,OH,98
COLUMBIA STATION,OH,150
CONNEAUT,OH,63
DORSET,OH,59
EAST CLARIDON,OH,1864
ELYRIA,OH,736
NORTH RIDGEVILLE,OH,1322
GATES MILLS,OH,1541
GENEVA,OH,119
GRAFTON,OH,662
GRAND RIVER,OH,588
HUNTSBURG,OH,140
JEFFERSON,OH,161
KINGSVILLE,OH,330
KIPTON,OH,50
LAGRANGE,OH,11
LORAIN,OH,500
SHEFFIELD LAKE,OH,718
MACEDONIA,OH,1289
MADISON,OH,78
MENTOR,OH,931
MIDDLEFIELD,OH,45
MONTVILLE,OH,187
NEWBURY,OH,589
NORTHFIELD,OH,378
NORTH KINGSVILLE,OH,121
NORTH OLMSTED,OH,1944
NOVELTY,OH,157
OBERLIN,OH,58
ORWELL,OH,13
PAINESVILLE,OH,573
PARKMAN,OH,123
PERRY,OH,17
PIERPONT,OH,68
ROCK CREEK,OH,115
ROME,OH,50
THOMPSON,OH,1079
TWINSBURG,OH,366
UNIONVILLE,OH,33
VERMILION,OH,250
WELLINGTON,OH,28
WICKLIFFE,OH,483
WILLIAMSFIELD,OH,63
WILLOUGHBY,OH,1286
EASTLAKE,OH,1216
WINDSOR,OH,53
CLEVELAND,OH,5119
LAKEWOOD,OH,2599
ROCKY RIVER,OH,310
EUCLID,OH,2118
BEACHWOOD,OH,859
INDEPENDENCE,OH,3227
NORTH ROYALTON,OH,1876
STRONGSVILLE,OH,1731
MAPLE HEIGHTS,OH,2702
OLMSTED FALLS,OH,580
SOLON,OH,476
BAY VILLAGE,OH,557
BRECKSVILLE,OH,306
BROOKPARK,OH,2841
WESTLAKE,OH,643
BEDFORD,OH,509
BROADVIEW HEIGHTS,OH,1916
ATWATER,OH,367
AURORA,OH,838
BARBERTON,OH,1298
BATH,OH,5060
BRADY LAKE,OH,1012
BRUNSWICK,OH,246
BURBANK,OH,15
CHIPPEWA LAKE,OH,116
CLINTON,OH,858
CRESTON,OH,36
CUYAHOGA FALLS,OH,1325
STOW,OH,1428
DOYLESTOWN,OH,615
GARRETTSVILLE,OH,33
GREEN,OH,1203
HINCKLEY,OH,1134
HIRAM,OH,262
HOMERVILLE,OH,13
HUDSON,OH,1281
KENT,OH,1097
STREETSBORO,OH,1085
LAKEMORE,OH,1386
WESTFIELD CENTER,OH,251
LITCHFIELD,OH,407
LODI,OH,24
MANTUA,OH,477
MEDINA,OH,408
MOGADORE,OH,1173
MUNROE FALLS,OH,610
PENINSULA,OH,163
RANDOLPH,OH,590
RAVENNA,OH,95
RITTMAN,OH,357
ROOTSTOWN,OH,554
SEVILLE,OH,45
SHARON CENTER,OH,748
SPENCER,OH,71
STERLING,OH,226
TALLMADGE,OH,1443
VALLEY CITY,OH,811
WADSWORTH,OH,125
WAYLAND,OH,165
RICHFIELD,OH,1557
WEST SALEM,OH,129
WINDHAM,OH,175
AKRON,OH,1345
FAIRLAWN,OH,1237
BERLIN CENTER,OH,28
BRISTOLVILLE,OH,894
BROOKFIELD,OH,102
BURGHILL,OH,272
CAMPBELL,OH,782
CANFIELD,OH,244
COLUMBIANA,OH,49
CORTLAND,OH,255
DEERFIELD,OH,216
DIAMOND,OH,95
EAST PALESTINE,OH,17
ELKTON,OH,158
ELLSWORTH,OH,484
FARMDALE,OH,55
FOWLER,OH,1125
GIRARD,OH,768
GREENFORD,OH,446
HANOVERTON,OH,731
HARTFORD,OH,150
HUBBARD,OH,162
KENSINGTON,OH,54
KINSMAN,OH,367
LAKE MILTON,OH,17
LEAVITTSBURG,OH,24
LEETONIA,OH,338
LISBON,OH,13
LOWELLVILLE,OH,140
MC DONALD,OH,76
MASURY,OH,454
MESOPOTAMIA,OH,70
MINERAL RIDGE,OH,777
NEGLEY,OH,138
NEW MIDDLETOWN,OH,13
NEW SPRINGFIELD,OH,399
NEWTON FALLS,OH,29
NEW WATERFORD,OH,132
NILES,OH,602
NORTH BENTON,OH,172
NORTH BLOOMFIELD,OH,54
NORTH JACKSON,OH,458
NORTH LIMA,OH,22
ORANGEVILLE,OH,201
PETERSBURG,OH,27
ROGERS,OH,17
SALEM,OH,50
SOUTHINGTON,OH,208
STRUTHERS,OH,653
VIENNA,OH,149
WARREN,OH,490
WASHINGTONVILLE,OH,372
WEST FARMINGTON,OH,19
WEST POINT,OH,90
WINONA,OH,126
YOUNGSTOWN,OH,1338
ALLIANCE,OH,147
APPLE CREEK,OH,180
AUGUSTA,OH,56
BEACH CITY,OH,35
BELOIT,OH,157
BERLIN,OH,39
BIG PRAIRIE,OH,119
BOLIVAR,OH,17
BREWSTER,OH,460
CANAL FULTON,OH,884
CARROLLTON,OH,17
CHARM,OH,84
DALTON,OH,43
DAMASCUS,OH,179
DELLROY,OH,56
DENNISON,OH,22
DOVER,OH,194
DUNDEE,OH,226
EAST ROCHESTER,OH,114
EAST SPARTA,OH,366
FREDERICKSBURG,OH,12
GLENMONT,OH,51
GNADENHUTTEN,OH,119
GREENTOWN,OH,1085
HARTVILLE,OH,120
HOLMESVILLE,OH,19
HOMEWORTH,OH,152
KIDRON,OH,214
KILLBUCK,OH,56
LAKEVILLE,OH,99
LEESVILLE,OH,312
LIMAVILLE,OH,238
LOUISVILLE,OH,81
MAGNOLIA,OH,8
MALVERN,OH,30
MARSHALLVILLE,OH,51
MASSILLON,OH,694
MAXIMO,OH,35
MECHANICSTOWN,OH,49
MIDDLEBRANCH,OH,283
MIDVALE,OH,156
MILLERSBURG,OH,23
MINERAL CITY,OH,190
MINERVA,OH,30
MOUNT EATON,OH,195
MOUNT HOPE,OH,101
NASHVILLE,OH,61
NAVARRE,OH,139
NEW PHILADELPHIA,OH,107
NORTH GEORGETOWN,OH,168
NORTH LAWRENCE,OH,528
ORRVILLE,OH,230
PARIS,OH,217
ROBERTSVILLE,OH,289
SANDYVILLE,OH,263
SEBRING,OH,155
SHERRODSVILLE,OH,13
SHREVE,OH,12
SMITHVILLE,OH,16
SOMERDALE,OH,914
STILLWATER,OH,46
STRASBURG,OH,68
SUGARCREEK,OH,195
TUSCARAWAS,OH,151
UHRICHSVILLE,OH,28
UNIONTOWN,OH,2512
WALNUT CREEK,OH,846
WAYNESBURG,OH,8
WILMOT,OH,286
WINESBURG,OH,122
WOOSTER,OH,163
DEERSVILLE,OH,46
BOWERSTON,OH,285
ZOAR,OH,202
TIPPECANOE,OH,35
CANTON,OH,807
NORTH CANTON,OH,942
EAST CANTON,OH,16
ALVADA,OH,79
ARCADIA,OH,53
ASHLAND,OH,142
ATTICA,OH,31
BASCOM,OH,84
BELLEVUE,OH,19
BELLVILLE,OH,200
BERLIN HEIGHTS,OH,45
BETTSVILLE,OH,140
BIRMINGHAM,OH,11
BLOOMDALE,OH,10
BLOOMVILLE,OH,342
BUCYRUS,OH,33
BUTLER,OH,112
CASTALIA,OH,66
CHATFIELD,OH,37
COLLINS,OH,162
CRESTLINE,OH,169
FLAT ROCK,OH,54
FOSTORIA,OH,23
GALION,OH,20
GREEN SPRINGS,OH,140
GREENWICH,OH,37
HAYESVILLE,OH,115
HURON,OH,339
JEROMESVILLE,OH,42
KANSAS,OH,633
LOUDONVILLE,OH,23
LUCAS,OH,254
MC CUTCHENVILLE,OH,75
MELMORE,OH,65
MILAN,OH,253
MONROEVILLE,OH,117
NANKIN,OH,109
NEVADA,OH,279
NEW HAVEN,OH,45
NEW LONDON,OH,487
NEW RIEGEL,OH,413
NEW WASHINGTON,OH,62
NORTH FAIRFIELD,OH,457
NORTH ROBINSON,OH,77
NORWALK,OH,103
NOVA,OH,584
OCEOLA,OH,67
OLD FORT,OH,141
ONTARIO,OH,239
PERRYSVILLE,OH,102
PLYMOUTH,OH,21
POLK,OH,23
REPUBLIC,OH,406
SANDUSKY,OH,338
SAVANNAH,OH,85
SHELBY,OH,21
SHILOH,OH,1171
SULLIVAN,OH,51
SULPHUR SPRINGS,OH,63
SYCAMORE,OH,65
TIFFIN,OH,52
TIRO,OH,365
WILLARD,OH,21
WAKEMAN,OH,173
MANSFIELD,OH,241
ADDYSTON,OH,1910
CLEVES,OH,988
COLLEGE CORNER,OH,86
COLLINSVILLE,OH,313
FRANKLIN,OH,921
HAMILTON,OH,1129
FAIRFIELD,OH,1632
HARRISON,OH,79
HARVEYSBURG,OH,22
HOOVEN,OH,17
KINGS MILLS,OH,1202
LEBANON,OH,111
MAINEVILLE,OH,18
MASON,OH,1559
MIAMITOWN,OH,1659
MIDDLETOWN,OH,785
MONROE,OH,1249
MOUNT SAINT JOSEPH,OH,2424
NORTH BEND,OH,1023
OKEANA,OH,342
OREGONIA,OH,331
OVERPECK,OH,3891
OXFORD,OH,93
ROSS,OH,1068
SEVEN MILE,OH,693
SHANDON,OH,4299
SOMERVILLE,OH,207
SOUTH LEBANON,OH,991
SPRINGBORO,OH,893
TRENTON,OH,814
WAYNESVILLE,OH,18
WEST CHESTER,OH,1921
WEST ELKTON,OH,236
ABERDEEN,OH,60
AMELIA,OH,194
BATAVIA,OH,653
BENTONVILLE,OH,51
BETHEL,OH,16
BLANCHESTER,OH,17
CAMP DENNISON,OH,114
CHILO,OH,54
CLARKSVILLE,OH,2124
CUBA,OH,60
DECATUR,OH,39
FAYETTEVILLE,OH,59
FEESBURG,OH,75
FELICITY,OH,67
GEORGETOWN,OH,14
GOSHEN,OH,24
GREENFIELD,OH,11
HAMERSVILLE,OH,16
HIGGINSPORT,OH,70
HIGHLAND,OH,180
HILLSBORO,OH,40
LEESBURG,OH,194
LEES CREEK,OH,54
LOVELAND,OH,1790
LYNCHBURG,OH,55
MANCHESTER,OH,48
MARTINSVILLE,OH,78
MIAMIVILLE,OH,2255
MIDLAND,OH,70
MILFORD,OH,2036
MORROW,OH,82
MOSCOW,OH,2584
MOUNT ORAB,OH,58
MOWRYSTOWN,OH,37
NEVILLE,OH,78
NEW RICHMOND,OH,537
NEWTONSVILLE,OH,387
NEW VIENNA,OH,68
OWENSVILLE,OH,496
PLEASANT PLAIN,OH,497
PORT WILLIAM,OH,120
REESVILLE,OH,64
RIPLEY,OH,15
RUSSELLVILLE,OH,36
SABINA,OH,69
SARDINIA,OH,223
SINKING SPRING,OH,21
TERRACE PARK,OH,566
WILLIAMSBURG,OH,169
WILMINGTON,OH,65
CINCINNATI,OH,4757
CINCINNATI,OH,4757
ALPHA,OH,47
ANNA,OH,7
ANSONIA,OH,73
ARCANUM,OH,12
BELLBROOK,OH,1177
BOTKINS,OH,70
BOWERSVILLE,OH,86
BRADFORD,OH,758
BROOKVILLE,OH,55
BURKETTSVILLE,OH,38
CAMDEN,OH,12
CASSTOWN,OH,246
CEDARVILLE,OH,12
CLAYTON,OH,1951
CLIFTON,OH,468
CONOVER,OH,201
COVINGTON,OH,214
DONNELSVILLE,OH,596
EATON,OH,35
ELDORADO,OH,8
ENGLEWOOD,OH,740
ENON,OH,13
FAIRBORN,OH,1178
FARMERSVILLE,OH,324
FLETCHER,OH,17
GERMANTOWN,OH,732
GETTYSBURG,OH,89
GRATIS,OH,165
GREENVILLE,OH,53
HOLLANSBURG,OH,345
HOUSTON,OH,135
JACKSON CENTER,OH,129
JAMESTOWN,OH,7
KETTLERSVILLE,OH,129
LAURA,OH,17
LEWISBURG,OH,101
LUDLOW FALLS,OH,419
MAPLEWOOD,OH,7
MEDWAY,OH,117
MIAMISBURG,OH,1261
NEW CARLISLE,OH,64
NEW LEBANON,OH,35
NEW MADISON,OH,371
NEW PARIS,OH,28
NEW WESTON,OH,35
NORTH HAMPTON,OH,377
NORTH STAR,OH,39
OSGOOD,OH,42
PALESTINE,OH,84
PEMBERTON,OH,93
PHILLIPSBURG,OH,339
PIQUA,OH,212
PITSBURG,OH,173
PLEASANT HILL,OH,18
PORT JEFFERSON,OH,88
POTSDAM,OH,240
ROSSBURG,OH,302
RUSSIA,OH,82
SIDNEY,OH,130
SOUTH CHARLESTON,OH,636
SOUTH VIENNA,OH,600
SPRING VALLEY,OH,2533
TIPP CITY,OH,532
TREMONT CITY,OH,306
TROY,OH,121
VANDALIA,OH,928
VERONA,OH,167
VERSAILLES,OH,7
WEST ALEXANDRIA,OH,9
WEST MANCHESTER,OH,90
WEST MILTON,OH,436
WILBERFORCE,OH,352
XENIA,OH,577
YELLOW SPRINGS,OH,58
YORKSHIRE,OH,39
