AcceptsAndroidPay,AcceptsApplePay,AcceptsBitcoin,AcceptsCreditCards,AgesAllowed,Alcohol,Ambience,Attire,BestNights,BikeParking,ByAppointmentOnly,CannabisProducts,Caters,CoatCheck,Delivery,DogsAllowed,Drive-Thru,Fri,GenderNeutralRestrooms,GoodFor,GoodForDancing,GoodforGroups,GoodforKids,GoodforWorking,HappyHour,HasPoolTable,HasTV,Mon,Music,NoiseLevel,OffersMilitaryDiscount,OutdoorSeating,Parking,Sat,Smoking,Sun,Take-out,TakesReservations,Thu,Tue,WaiterService,Wed,WheelchairAccessible,Wi-Fi,area,claimed status,health inspect,id,latitude,longitude,price,rating,related0,related1,related2,review,tag,title,url
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,sheppards-sole-food-detroit,42.429919,-83.141676,None,None,lous-deli-detroit,toms-tavern-detroit,china-wok-detroit,None,None,Sheppard’s Sole Food,https://www.yelp.com/biz/sheppards-sole-food-detroit?osq=food
None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,No,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,wendys-detroit-11,42.4460658,-83.1421784,None,None,the-emory-ferndale,checkers-detroit,qdoba-mexican-eats-southfield,None,None,Wendy’s,https://www.yelp.com/biz/wendys-detroit-11?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,10:30 am - 10:00 pm,None,None,None,None,None,None,None,None,None,10:30 am - 10:00 pm,None,None,None,None,None,11:00 am - 10:00 pm,None,11:00 am - 10:00 pm,None,None,10:30 am - 10:00 pm,10:30 am - 10:00 pm,None,10:30 am - 10:00 pm,None,No,MI Detroit Bagley,Claimed,None,kfc-ferndale,42.446,-83.142,None,None,None,None,None,None,None,KFC,https://www.yelp.com/biz/kfc-ferndale?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,santa-barbara-market-detroit,42.4173483,-83.1489468,None,None,None,None,None,None,None,Santa Barbara Market,https://www.yelp.com/biz/santa-barbara-market-detroit?osq=food
None,None,None,Yes,None,None,None,Casual,None,None,None,None,None,None,No,None,Yes,None,None,None,None,No,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,No,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,mcdonalds-detroit-9,42.4174774,-83.1412573,1.0,2.5,brayz-hamburgers-hazel-park,white-castle-detroit-13,telway-hamburgers-detroit,3,"FastFood,Burgers",McDonald’s,https://www.yelp.com/biz/mcdonalds-detroit-9?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,good-stop-liquor-detroit,42.4171422,-83.1459815,None,None,None,None,None,None,None,Good Stop Liquor,https://www.yelp.com/biz/good-stop-liquor-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,crown-liquor-detroit,42.4172592,-83.1434875,None,None,wine-captain-party-shoppe-dearborn,macs-drugs-and-liquor-shop-detroit,forest-liquor-detroit,None,None,Crown Liquor,https://www.yelp.com/biz/crown-liquor-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,wyoming-and-six-market-detroit,42.417409,-83.159884,None,None,None,None,None,None,None,Wyoming & Six Market,https://www.yelp.com/biz/wyoming-and-six-market-detroit?osq=food
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MI Detroit Bagley,Unclaimed,None,jade-garden-detroit,42.4326723,-83.1411723,None,None,the-rock-on-third-royal-oak,the-royal-oak-brewery-royal-oak,malones-tavern-warren,None,None,Jade Garden,https://www.yelp.com/biz/jade-garden-detroit?osq=food
None,None,None,No,None,No,None,Casual,None,None,None,None,None,None,No,None,None,11:00 am - 8:00 pm,None,None,None,No,No,None,None,None,None,11:00 am - 8:00 pm,None,None,None,Yes,None,11:00 am - 8:00 pm,None,11:00 am - 8:00 pm,Yes,No,11:00 am - 8:00 pm,11:00 am - 8:00 pm,No,11:00 am - 8:00 pm,Yes,None,MI Detroit Bagley,Unclaimed,None,motown-mobile-barbeque-and-grill-detroit,42.445644,-83.161508,None,None,beans-and-cornbread-southfield,howes-bayou-ferndale,slows-bar-bq-detroit,None,None,Motown Mobile Barbeque & Grill,https://www.yelp.com/biz/motown-mobile-barbeque-and-grill-detroit?osq=food
